id,title,description,min_level,section,image,section_image
24,Platform-Specific Process Behaviors,"Practical consequences of process initialization differing across Linux, macOS, and Windows.",1,Multi-Processing Fundamentals,unit24.png,
25,Process Exit Codes & Error Handling,"Monitoring process lifecycle, exit codes, and exceptions that don't cross process boundaries.",1,Multi-Processing Fundamentals,unit25.png,
26,Inter-Process Queues (multiprocessing.Queue),Thread- and process-safe FIFO data exchange across isolated process memory.,1,Inter-Process Communication,unit26.png,
27,Inter-Process Pipes (multiprocessing.Pipe),"Direct, low-latency duplex and simplex channels between exactly two processes.",1,Inter-Process Communication,unit27.png,
28,Basic Shared Memory (Value & Array),Sharing primitive data types and fixed-size arrays directly across processes.,1,Inter-Process Communication,unit28.png,
29,Modern Shared Memory (multiprocessing.shared_memory),"Zero-copy shared memory blocks for large datasets, and its resource-tracking gotcha.",1,Inter-Process Communication,unit29.png,
30,Process Managers (multiprocessing.Manager),"High-level, server-backed sharing of complex Python objects like dicts and lists.",1,Inter-Process Communication,unit30.png,
31,Inter-Process Locking (multiprocessing.Lock),"Synchronizing access to shared external resources — files, hardware, printers — across processes.",1,Inter-Process Synchronization,unit31.png,
32,Reentrant Inter-Process Locking (multiprocessing.RLock),Safely handling nested lock acquisitions at the process level.,1,Inter-Process Synchronization,unit32.png,
33,Inter-Process Events & Semaphores,Coordination flags and access throttling across separate OS process spaces.,1,Inter-Process Synchronization,unit33.png,
34,Process Synchronization Barriers (multiprocessing.Barrier),Forcing a set number of processes to wait until all reach a common checkpoint.,1,Inter-Process Synchronization,unit34.png,
35,Worker Process Teardown Patterns,"Poison pills, graceful shutdown signals, and cleanup for worker process pools.",1,Inter-Process Synchronization,unit35.png,
36,Executor Pool Selection,Comparing ThreadPoolExecutor and ProcessPoolExecutor for different workload profiles.,1,High-Level Task Pools,unit36.png,
37,Task Submission Mechanics (submit vs. map),Dispatching a single function vs. mapping an iterable across an executor pool.,1,High-Level Task Pools,unit37.png,
38,Pool Context Management & Lifecycle,Automatically managing executor setup and teardown with 'with'.,1,High-Level Task Pools,unit38.png,
39,Pool Sizing & Resource Management,Tuning max_workers correctly for CPU-bound vs I/O-bound workloads.,1,High-Level Task Pools,unit39.png,
40,Queue Backpressure in Executors,Preventing unbounded memory growth when submitting massive task batches.,1,High-Level Task Pools,unit40.png,
41,Future Objects Core Lifecycle,"State transitions, checking completion, and retrieving results.",1,Deferred Tasks & Futures,unit41.png,
42,Non-Blocking Future Checks & Timeouts,Polling status and handling TimeoutError instead of waiting forever.,1,Deferred Tasks & Futures,unit42.png,
43,Future Completion Callbacks,Attaching non-blocking event handlers with future.add_done_callback().,1,Deferred Tasks & Futures,unit43.png,
44,Handling Collections of Futures,Processing many futures out-of-order (as_completed) or in batches (wait).,1,Deferred Tasks & Futures,unit44.png,
45,Task Cancellation Mechanics,"Canceling queued futures before they start, with future.cancel().",1,Deferred Tasks & Futures,unit45.png,
46,Async Syntax & Coroutines,"Defining coroutines with async def, and suspending execution with await.",1,Asyncio Core Mechanics,unit46.png,
47,The Event Loop Paradigm,Single-threaded cooperative multitasking and starting a loop with asyncio.run().,1,Asyncio Core Mechanics,unit47.png,
48,Yielding Control in Coroutines,Cooperative yielding with asyncio.sleep() and other non-blocking wait patterns.,1,Asyncio Core Mechanics,unit48.png,
49,Event Loop Starvation & Blocking,The risk of CPU-heavy or synchronous blocking code freezing the entire async program.,1,Asyncio Core Mechanics,unit49.png,
50,Coroutines vs. Synchronous Functions,What's actually different under the hood between a normal call and a coroutine.,1,Asyncio Core Mechanics,unit50.png,
51,Task Instantiation (asyncio.create_task),Converting a coroutine into a background execution task scheduled on the event loop.,1,Async Tasks & Scheduling,unit51.png,
52,Coroutines vs. Tasks vs. Futures in Asyncio,"Disambiguating coroutine definitions, managed Tasks, and low-level async Futures.",1,Async Tasks & Scheduling,unit52.png,
53,Concurrent Task Gathering (asyncio.gather),Running multiple coroutines concurrently and collecting their aggregate results.,1,Async Tasks & Scheduling,unit53.png,
54,Out-of-Order Async Results (asyncio.as_completed),"Iterating over coroutines as they finish, rather than waiting for all of them together.",1,Async Tasks & Scheduling,unit54.png,
55,Async Task Cancellation Mechanics,Canceling tasks via task.cancel() and handling the resulting asyncio.CancelledError.,1,Async Tasks & Scheduling,unit55.png,
56,Async Timeouts & Deadlines,Enforcing time constraints using asyncio.timeout() and asyncio.wait_for().,1,Structured Concurrency & Timeouts,unit56.png,
57,Structured Concurrency (asyncio.TaskGroup),"Context-managed scope for concurrent tasks, added in Python 3.11+.",1,Structured Concurrency & Timeouts,unit57.png,
58,Exception Groups in Async Contexts,Catching and unrolling ExceptionGroup when multiple concurrent async tasks fail.,1,Structured Concurrency & Timeouts,unit58.png,
59,Multi-Task Waiting Strategies,Using asyncio.wait() with flags like FIRST_COMPLETED and ALL_COMPLETED.,1,Structured Concurrency & Timeouts,unit59.png,
60,Shielding Async Tasks from Cancellation,"Protecting critical, non-interruptible coroutines using asyncio.shield().",1,Structured Concurrency & Timeouts,unit60.png,
61,Async Mutual Exclusion (asyncio.Lock),"Protecting shared state within a single-threaded async loop, without ever blocking the loop thread.",1,Async Primitives & Data Structures,unit61.png,
62,Async Throttling (asyncio.Semaphore),Rate limiting API calls and capping the number of concurrent async connections.,1,Async Primitives & Data Structures,unit62.png,
63,Async Signaling (Event & Condition),"Flag-based signaling with asyncio.Event, and coordinated state notifications with asyncio.Condition.",1,Async Primitives & Data Structures,unit63.png,
64,Async Queues (asyncio.Queue),"Non-blocking producer-consumer FIFO queues for coroutines, and the LIFO/Priority variants.",1,Async Primitives & Data Structures,unit64.png,
65,Sync Lock Errors in Async Code,Why using threading.Lock inside async functions freezes the entire event loop.,1,Async Primitives & Data Structures,unit65.png,
66,High-Level Async Network Streams,Establishing socket connections with asyncio.open_connection() and running a server with start_server().,1,Asynchronous I/O & Networking,unit66.png,
67,Async Stream Readers & Writers,"Buffer-based, non-blocking network reading and writing with StreamReader/StreamWriter.",1,Asynchronous I/O & Networking,unit67.png,
68,Transports & Protocols (Low-Level Async),"The event loop's transport layer and protocol callback architecture, underlying the higher-level streams API.",1,Asynchronous I/O & Networking,unit68.png,
69,Async Subprocesses,Spawning OS child processes and non-blocking I/O piping with asyncio.create_subprocess_exec().,1,Asynchronous I/O & Networking,unit69.png,
70,Asynchronous HTTP Clients,Integrating non-blocking network requests using async-capable libraries like httpx or aiohttp.,1,Asynchronous I/O & Networking,unit70.png,
71,Offloading CPU Tasks from Async (run_in_executor),Running blocking or CPU-bound functions in pool threads (or processes) without stalling the event loop.,1,Cross-Paradigm Integration,unit71.png,
72,Modern Thread Offloading (asyncio.to_thread),The convenience wrapper (Python 3.9+) for running synchronous blocking code in a background thread.,1,Cross-Paradigm Integration,unit72.png,
73,Dedicated Event Loop Threads,"Hosting an active asyncio event loop inside a separate, long-running background thread.",1,Cross-Paradigm Integration,unit73.png,
74,Sync-to-Async Bridge,Safely calling coroutines from traditional synchronous codebases and frameworks.,1,Cross-Paradigm Integration,unit74.png,
75,Thread-Safe Async Scheduling,Scheduling coroutines onto a running event loop from another thread via run_coroutine_threadsafe().,1,Cross-Paradigm Integration,unit75.png,
76,Producer-Consumer Pattern Architecture,"Decoupling task generation from task processing, for scaling and system stability.",1,System Architecture & Queue Patterns,unit76.png,
77,Queue Implementation Selection,"Comparing queue.Queue, multiprocessing.Queue, and asyncio.Queue — and when to use each.",1,System Architecture & Queue Patterns,unit77.png,
78,Queue Completion & Joining,Tracking finished work items with task_done() and blocking until all work completes with join().,1,System Architecture & Queue Patterns,unit78.png,
79,Graceful Shutdown & Poison Pills,Using sentinel objects to signal worker threads or processes to stop processing cleanly.,1,System Architecture & Queue Patterns,unit79.png,
80,Bounded Queues & Backpressure,Setting maxsize on queues to stop producers from overflowing system RAM.,1,System Architecture & Queue Patterns,unit80.png,
81,Common Concurrency Bugs,"Identifying deadlocks, race conditions, thread starvation, and memory leaks in production.",1,"Profiling, Debugging & Concurrency Selection",unit81.png,
82,Profiling Concurrent Code,"Measuring execution bottlenecks across threads, processes, and event loops.",1,"Profiling, Debugging & Concurrency Selection",unit82.png,
83,Asyncio Debug Mode,Enabling PYTHONASYNCIODEBUG=1 (or debug=True) to catch unawaited coroutines and slow callbacks.,1,"Profiling, Debugging & Concurrency Selection",unit83.png,
84,Signal Handling & Graceful Teardown,"Intercepting OS signals (SIGINT/SIGTERM) to cleanly shut down threads, processes, and async loops.",1,"Profiling, Debugging & Concurrency Selection",unit84.png,
85,Concurrency Selection Decision Tree,A step-by-step decision framework to choose the right concurrency model for any Python problem.,1,"Profiling, Debugging & Concurrency Selection",unit85.png,
