term,definition,link,introduced_by_card_id
threading.Event,A simple shared on/off flag: one thread calls .set() to flip it on and wake every other thread currently blocked in .wait(); .clear() resets it so it can be reused for the next signal.,https://docs.python.org/3/library/threading.html#event-objects,188
threading.Condition,"Combines a lock with the ability to wait()/notify() -- it lets a thread block until some specific condition about shared state becomes true, safely re-checking that condition in a while loop (not just once with an if) each time it wakes up.",https://docs.python.org/3/library/threading.html#condition-objects,1814
spurious wakeup,"When a thread waiting on a Condition wakes up even though the condition it's actually waiting for still isn't true -- the reason you always re-check the condition in a while loop after wait(), rather than trusting a single if check.",,195
threading.Semaphore,"A counter-based lock that lets up to N threads hold it at once instead of just one -- great for capping how many threads can concurrently use a limited resource, like a connection pool.",https://docs.python.org/3/library/threading.html#semaphore-objects,208
threading.Timer,"A Thread subclass that runs a given function exactly once after a specified delay, on its own separate thread. Call .cancel() before it fires to stop it -- it has no effect once the function has already started running.",https://docs.python.org/3/library/threading.html#timer-objects,1801
threading.local,"A way to give every thread its own private, isolated copy of an attribute under the same name -- no locking needed, since nothing is actually shared. Commonly used for things like per-thread database connections.",https://docs.python.org/3/library/threading.html#thread-local-data,1800
threading.excepthook,"A callback you can override to globally catch and handle exceptions that escape a thread's target function uncaught. By default Python just prints the traceback and moves on, without crashing the main thread or any other thread.",,128
multiprocessing.Process,"The class for creating a real, separate OS process, complete with its own memory and its own GIL. Its API deliberately mirrors threading.Thread: give it a target, call .start(), then .join().",https://docs.python.org/3/library/multiprocessing.html#the-process-class,232
copy-on-write,An operating-system trick where a forked child process shares the parent's memory pages instead of copying them upfront -- a private copy of any given page only actually gets made once either process tries to modify it.,https://en.wikipedia.org/wiki/Copy-on-write,250
fork,"A multiprocessing start method that duplicates the current process, including its memory, at the OS level to create the child. It's fast, but can be unsafe if the parent process has other threads running at the moment it forks.",,255
spawn,"A multiprocessing start method that starts a completely fresh Python interpreter for the child process, re-importing everything from scratch. Slower than fork, but it avoids inheriting risky state from the parent, and is the default on Windows and macOS.",,255
forkserver,"A multiprocessing start method that starts one clean helper process early on, then forks new children from that clean helper instead of from the potentially thread-heavy main process -- the default on Linux/Unix as of Python 3.14.",,255
__main__ guard,"The if __name__ == '__main__': block that must wrap any Process-creation code. Without it, the 'spawn' start method would re-import your whole script inside the child, which would try to create its own children, and so on forever.",,268
exitcode,"A finished Process object's .exitcode attribute reports how it ended: 0 means success, a non-zero value signals an error, and a negative value means it was killed by a signal. It stays None until the process has actually finished.",,274
IPC,"Short for Inter-Process Communication: the general term for the mechanisms -- queues, pipes, shared memory -- that separate processes use to exchange data, since unlike threads they don't share memory automatically.",https://en.wikipedia.org/wiki/Inter-process_communication,248
multiprocessing.Queue,"A FIFO queue that's safe to use across separate processes -- items you put() on it get pickled, sent, and unpickled on the other end, since the processes don't actually share memory with each other.",https://docs.python.org/3/library/multiprocessing.html#pipes-and-queues,280
multiprocessing.Pipe,"Creates a pair of connected endpoints for direct, two-way communication between exactly two processes -- generally faster than a Queue, though Queue is the better fit once there are many producers and consumers involved.",,298
duplex,"Pipe's default mode, where both ends can both send and receive data. Pass duplex=False to restrict it to one direction only, known as simplex.",,304
simplex,"A one-directional-only communication channel -- the opposite of Pipe's default duplex mode, where either end can both send and receive. Simplex forces one end to send-only and the other to receive-only.",,304
multiprocessing.Value,"Shares a single primitive value, like an int or float given by a type code, between processes via real shared memory, with an optional built-in lock -- read or write it through its .value attribute.",https://docs.python.org/3/library/multiprocessing.html#shared-ctypes-objects,310
multiprocessing.Array,"Like Value, but for a fixed-size, indexable array of primitive values shared via real memory -- its size can't grow or shrink once it's created.",,316
shared_memory,"A raw, zero-copy block of shared memory that any process can attach to by name, avoiding the pickling overhead of Queue or Manager -- especially useful for large data like NumPy arrays, since it's just bytes with no type information of its own attached.",https://docs.python.org/3/library/multiprocessing.shared_memory.html,322
resource tracker,"A background helper process that can accidentally delete a shared_memory block the moment it thinks nothing needs it anymore -- a known gotcha, since a separate resource tracker can form in a process that wasn't created by plain multiprocessing and clean up memory other processes still expect to exist.",,328
multiprocessing.Manager,"Runs a separate 'manager' server process that actually holds a rich Python object, like a dict or list. Other processes just get a proxy that forwards every operation to it over IPC -- more flexible than Value/Array, but slower due to that extra round-trip.",https://docs.python.org/3/library/multiprocessing.html#managers,334
proxy,"The lightweight stand-in object a Manager gives each process for a shared dict or list. Reading a nested value out of it can return a local copy, so mutating that copy in place doesn't propagate back -- you have to reassign the whole value through the proxy instead.",,334
multiprocessing.Lock,"A mutex that works across process boundaries, protecting an external shared resource -- like a log file or printer -- that multiple processes might write to at once. It must be created once and passed to each worker process, never recreated inside each one.",,346
multiprocessing.RLock,"The process-level reentrant lock -- lets the same process safely re-acquire it multiple times, e.g. in nested calls, without deadlocking itself, mirroring threading.RLock but across process boundaries.",,358
multiprocessing.Event,"The process-level version of threading.Event -- the same set()/clear()/wait() flag-based signaling, just usable by separate OS processes instead of threads within one process.",,364
multiprocessing.Semaphore,"The process-level version of threading.Semaphore -- throttles how many separate processes can concurrently access a limited resource, like an external API or a database connection pool.",,370
multiprocessing.Barrier,"Blocks every process that calls .wait() on it until a specific number of processes have all reached that same point, then releases them all together at once -- useful for making sure every worker finishes a setup phase before any of them starts the next one.",,376
poison pill,"A special sentinel value, often None, put onto a shared queue purely to tell a worker 'there's no more real work, stop looping and exit cleanly.' You generally need one pill per worker, to make sure every one of them sees it.",,382
graceful shutdown,"Letting a process or thread finish its current work and clean up properly -- closing files, releasing locks -- before it stops, rather than forcibly killing it mid-task with something like terminate(). The safer default whenever it's feasible.",,388
process.terminate,"Forcibly kills a process immediately, with no chance to run cleanup code -- reserved for workers that are genuinely stuck, since it can leave shared resources, like a half-written file, in a bad state.",,388
ThreadPoolExecutor,"A managed pool of reusable worker threads with a simple submit()/map() API that hands back Future objects. A good fit for I/O-bound work, but still GIL-limited for CPU-bound work since it's built on regular threads underneath.",https://docs.python.org/3/library/concurrent.futures.html#concurrent.futures.ThreadPoolExecutor,394
ProcessPoolExecutor,"The same easy submit()/map() API as ThreadPoolExecutor, but backed by real separate OS processes -- gives genuine, GIL-free CPU parallelism, at the cost of higher per-task overhead like pickling arguments and starting processes.",https://docs.python.org/3/library/concurrent.futures.html#concurrent.futures.ProcessPoolExecutor,400
Future object,"A placeholder object returned immediately by executor.submit() (or asyncio's scheduling calls) for a result that isn't ready yet. Check it without blocking via .done(), or block until it's ready via .result(), which returns the value or re-raises the task's exception.",https://docs.python.org/3/library/concurrent.futures.html#future-objects,394
executor.map,"Applies one function across a whole iterable of inputs concurrently in the pool, and returns the results in the same order the inputs were given -- schedules all the work up front rather than lazily as you iterate.",,1850
max_workers,"The parameter that caps how many worker threads or processes a pool will run at once -- extras beyond that queue up internally. Roughly match the CPU core count for CPU-bound work, but go well beyond it for I/O-bound work, since most workers just sit waiting.",,424
backpressure,"The general term, borrowed from plumbing, for slowing down a fast producer to match a slower consumer -- e.g. a bounded queue's put() blocking once it's full, instead of letting memory grow without limit.",https://en.wikipedia.org/wiki/Back_pressure,440
as_completed,"A function that yields each Future or Task as soon as IT individually finishes -- in the order tasks actually complete, not the order you submitted or listed them -- so you can start handling fast results without waiting on a slow one.",,466
add_done_callback,"Registers a function to be called automatically the moment a Future finishes, so you don't have to poll or block waiting for it. If the Future is already done when you register it, the callback just runs right away.",,460
coroutine,"What calling an async def function actually returns -- not the result, just an inert object representing 'work to be done later' that does nothing until it's awaited or scheduled onto the event loop.",,484
async def,"The keyword pair that defines a coroutine function -- calling it doesn't run the body immediately, it just creates and returns a coroutine object. You need 'await' (or a scheduling call) to actually run it.",,484
await,"Used inside a coroutine to suspend it and hand control back to the event loop until whatever's being awaited is ready. Other coroutines get a chance to run during that suspension, unlike a blocking call, which would freeze everything.",,490
event loop,"The single-threaded mechanism, usually one per program, that runs and schedules every asyncio coroutine and callback. Coroutines cooperatively yield control at their own await points, rather than being force-switched on a timer the way OS threads are.",,16
asyncio.run,"The standard top-level entry point for running async code from ordinary synchronous code: it creates a fresh event loop, runs the given coroutine to completion, then cleans up the loop. It can't be called from inside an already-running event loop.",https://docs.python.org/3/library/asyncio-runner.html#asyncio.run,782
asyncio.sleep,"The async-safe version of time.sleep() -- it yields control back to the event loop for the duration of the wait, letting other coroutines make progress, instead of freezing the entire loop the way time.sleep() would.",,782
cooperative multitasking,"asyncio's scheduling model: coroutines voluntarily give up control at their own await points, letting the loop switch to another one. Nothing is force-interrupted on a timer the way OS threads are under the GIL.",https://en.wikipedia.org/wiki/Cooperative_multitasking,496
create_task,"Schedules a coroutine to start running on the event loop right away, in the background. Unlike a plain 'await coro', the calling code doesn't have to wait for it to finish before moving on to do other things.",,526
asyncio.Task,"An asyncio object that wraps a coroutine and actively schedules and runs it on the event loop. It's actually a subclass of Future, so you can later await it, check .done(), or .cancel() it, just like an executor's Future.",https://docs.python.org/3/library/asyncio-task.html#task-object,532
asyncio.gather,"Runs several coroutines or tasks concurrently and collects all their results together, in the same order they were passed in, once every one of them has finished. An exception from any of them propagates immediately by default.",https://docs.python.org/3/library/asyncio-task.html#asyncio.gather,538
CancelledError,"The exception asyncio raises inside a coroutine at its next await point after task.cancel() is called. The coroutine can catch it to run cleanup code, or let it propagate and end the task in a 'cancelled' state.",,550
asyncio.timeout,"An 'async with' context manager, added in Python 3.11, that raises TimeoutError if the code inside the block hasn't finished within the given time, cancelling whatever's still running. Its advantage over wait_for is covering a whole block of multiple awaits under one shared deadline.",https://docs.python.org/3/library/asyncio-task.html#asyncio.timeout,556
asyncio.wait_for,"Awaits a single coroutine but cancels it and raises TimeoutError if it hasn't finished within the given number of seconds -- the classic, older way to put a deadline on one call, before asyncio.timeout() existed.",,562
TaskGroup,"A structured way, added in Python 3.11, to run multiple child tasks together inside an 'async with' block, guaranteeing every one of them is awaited or cancelled before the block exits -- no task can be silently forgotten or leaked, unlike manually tracking a list of tasks yourself.",https://docs.python.org/3/library/asyncio-task.html#task-groups,568
ExceptionGroup,"A special exception that bundles multiple, possibly different, exceptions raised at the same time -- e.g. when several tasks in a TaskGroup fail concurrently, ExceptionGroup wraps all of them together instead of picking just one to report.",https://peps.python.org/pep-0654/,574
asyncio.wait,"Blocks until some condition about a set of tasks is met, like waiting for just one (FIRST_COMPLETED) or the default of waiting for every task, then returns two sets, done and pending, instead of an iterator. Unlike gather(), it doesn't automatically re-raise exceptions.",,580
asyncio.shield,"Protects a coroutine from being cancelled if the OUTER await wrapping it gets cancelled, e.g. by a timeout -- the shielded coroutine keeps running to completion in the background regardless, useful for a critical write that must finish.",https://docs.python.org/3/library/asyncio-task.html#asyncio.shield,586
asyncio.Lock,"The async-native mutex: its acquire() is awaitable, so a coroutine waiting for it yields control back to the event loop, instead of freezing the whole loop the way calling threading.Lock inside a coroutine would.",https://docs.python.org/3/library/asyncio-sync.html#lock,592
asyncio.Semaphore,"The async-native version of a counting semaphore -- caps how many coroutines can be inside a block concurrently, e.g. throttling outbound API calls, using 'async with' instead of a blocking acquire().",,598
asyncio.Event,"The async-native version of threading.Event -- coroutines await event.wait() to pause until some other coroutine calls event.set(), which wakes every one of them at once. event.clear() resets it.",,604
asyncio.Condition,"Combines an asyncio.Lock with the ability to wait()/notify(), letting coroutines wait for a specific shared-state condition to become true while holding the lock safely -- used for coroutine-based producer-consumer coordination.",,610
asyncio.Queue,"An async-safe FIFO queue where put() and get() are both awaitable coroutine methods. A full queue's put() and an empty queue's get() both suspend the calling coroutine, without freezing the event loop, until there's room or an item.",https://docs.python.org/3/library/asyncio-queue.html,616
StreamReader,"The object returned by asyncio's networking calls, like open_connection(), for reading incoming data. Its read()/readline() methods are awaitable, suspending the coroutine -- not the whole loop -- until enough data has arrived.",,634
StreamWriter,"The counterpart to StreamReader for sending data over an asyncio connection. write() just buffers bytes synchronously, while the separate await writer.drain() call applies backpressure so the outgoing buffer doesn't grow without bound.",,634
Transport,"The lower-level object that actually sends and receives raw bytes, e.g. over a socket, in asyncio's older callback-based networking API. The event loop hands data to and from a Protocol through it -- most application code should use the simpler streams API instead.",,652
Protocol,"The lower-level, callback-based counterpart to Transport -- instead of async def/await, it defines methods like connection_made() and data_received() that the event loop calls automatically as network events happen. StreamReader/StreamWriter are actually built on top of this machinery.",,35
create_subprocess_exec,"Spawns an OS child process, like running a command-line tool, without blocking the event loop, so you can asynchronously read its output as it's produced instead of freezing everything until it finishes.",,659
run_in_executor,"Moves a blocking, synchronous function off the event loop's own thread and into a background thread pool, or a custom executor, so the loop stays free to keep servicing other coroutines while it waits for the result.",,671
asyncio.to_thread,"A simpler convenience wrapper, added in Python 3.9, around run_in_executor() for the common case of just running a blocking function in the default thread pool -- same idea, friendlier syntax.",,677
run_coroutine_threadsafe,Safely schedules a coroutine onto an event loop that's running on a DIFFERENT thread than the caller -- needed because calling loop methods like create_task() directly from a foreign thread isn't thread-safe. It returns a concurrent.futures.Future rather than an asyncio.Future.,,685
event loop starvation,"When one coroutine hogs the single thread the event loop runs on -- e.g. a tight CPU loop, or a synchronous blocking call with no await point -- so every other coroutine, no matter how ready, has to wait until it finally yields.",,514
producer-consumer pattern,"A design where producers generate work and put it on a shared queue, while separate consumers pull work off and process it -- decoupling the two sides so each can run and scale at its own pace instead of calling each other directly.",https://en.wikipedia.org/wiki/Producer%E2%80%93consumer_problem,207
task_done,"The queue method each consumer calls after finishing one item it got via get(). Paired with queue.join(), which blocks until every item ever put on the queue has had a matching task_done() call -- i.e. until all the work is truly finished, not just removed from the queue.",,713
starvation,"When a thread, process, or coroutine is perpetually denied the CPU time or resource it needs to make progress -- e.g. an undersized worker pool leaving some tasks waiting indefinitely behind a backlog of others.",https://en.wikipedia.org/wiki/Starvation_(computer_science),514
asyncio debug mode,"An opt-in mode, turned on via asyncio.run(main(), debug=True) or the PYTHONASYNCIODEBUG environment variable, that adds extra runtime checks -- like flagging a coroutine that was created but never awaited, or warning about unusually slow callbacks -- normally skipped for performance.",,749
SIGINT,"The OS signal sent when you press Ctrl+C. Python's default reaction is to raise KeyboardInterrupt and exit, but you can intercept it, via signal.signal() or, inside asyncio, loop.add_signal_handler(), to run cleanup first.",https://docs.python.org/3/library/signal.html,756
SIGTERM,"The OS signal a process manager typically sends to politely ask a program to shut down. Unlike SIGKILL, a program can catch it and run graceful cleanup, like signaling workers with a poison pill, before actually exiting.",,756
cProfile,"The standard library's deterministic function-call profiler -- useful on concurrent code, but with real caveats: it only profiles the thread that ran it, and a separate process needs to be profiled independently, since each has its own memory and profiler state.",https://docs.python.org/3/library/profile.html,743
FIFO,Short for First-In-First-Out -- describes a queue where the first item put in is the first one to come back out. This is the default order for both queue.Queue and asyncio.Queue.,,290
LifoQueue,"A stack-like queue variant -- instead of FIFO order, the most recently added item comes out first, last-in-first-out. Available in both the standard queue module and asyncio.",,622
PriorityQueue,"A queue variant that always returns whichever item has the lowest priority value first, regardless of what order items were actually added in -- requires the items to be orderable/comparable with each other.",,622
